id,iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
1,USA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1584253000,tonnes,annual,47:28.8,51:14.2
2,USA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1584253000,tonnes,annual,47:28.8,51:14.2
3,USA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1584253000,tonnes,annual,47:28.8,51:14.2
4,RUS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,552526000,tonnes,annual,47:28.8,51:13.5
5,RUS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,552526000,tonnes,annual,47:28.8,51:13.5
6,RUS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,552526000,tonnes,annual,47:28.8,51:13.5
7,SAU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,272845000,tonnes,annual,47:28.8,
8,SAU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,272845000,tonnes,annual,47:28.8,
9,SAU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,272845000,tonnes,annual,47:28.8,
10,ZAF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,208418000,tonnes,annual,47:28.8,51:14.2
11,ZAF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,208418000,tonnes,annual,47:28.8,51:14.2
12,ZAF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,208418000,tonnes,annual,47:28.8,51:14.2
13,TWN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,167390000,tonnes,annual,47:28.8,51:14.2
14,TWN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,167390000,tonnes,annual,47:28.8,51:14.2
15,TWN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,167390000,tonnes,annual,47:28.8,51:14.2
16,THA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,143139000,tonnes,annual,47:28.8,48:10.0
17,THA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,143139000,tonnes,annual,47:28.8,48:10.0
18,THA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,143139000,tonnes,annual,47:28.8,48:10.0
19,TUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,130223000,tonnes,annual,47:28.8,51:14.2
20,TUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,130223000,tonnes,annual,47:28.8,51:14.2
21,TUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,130223000,tonnes,annual,47:28.8,51:14.2
22,VNM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,103272000,tonnes,annual,47:28.8,51:14.2
23,VNM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,103272000,tonnes,annual,47:28.8,51:14.2
24,VNM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,103272000,tonnes,annual,47:28.8,51:14.2
25,UKR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,45077000,tonnes,annual,47:28.8,51:14.2
26,UKR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,45077000,tonnes,annual,47:28.8,51:14.2
27,UKR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,45077000,tonnes,annual,47:28.8,51:14.2
28,UZB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,44999000,tonnes,annual,47:28.8,51:14.2
29,UZB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,44999000,tonnes,annual,47:28.8,51:14.2
30,UZB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,44999000,tonnes,annual,47:28.8,51:14.2
31,VEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,25098000,tonnes,annual,47:28.8,48:10.6
32,VEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,25098000,tonnes,annual,47:28.8,48:10.6
33,VEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,25098000,tonnes,annual,47:28.8,48:10.6
34,SRB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,23989000,tonnes,annual,47:28.8,48:10.0
35,SRB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,23989000,tonnes,annual,47:28.8,48:10.0
36,SRB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,23989000,tonnes,annual,47:28.8,48:10.0
37,SGP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,22139000,tonnes,annual,47:28.8,48:10.0
38,SGP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,22139000,tonnes,annual,47:28.8,48:10.0
39,SGP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,22139000,tonnes,annual,47:28.8,48:10.0
40,QAT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,22072000,tonnes,annual,47:28.8,48:10.0
41,QAT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,22072000,tonnes,annual,47:28.8,48:10.0
42,QAT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,22072000,tonnes,annual,47:28.8,48:10.0
43,TKM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,19860000,tonnes,annual,47:28.8,48:10.6
44,TKM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,19860000,tonnes,annual,47:28.8,48:10.6
45,TKM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,19860000,tonnes,annual,47:28.8,48:10.6
46,ROU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,11227000,tonnes,annual,47:28.8,51:13.5
47,ROU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,11227000,tonnes,annual,47:28.8,51:13.5
48,ROU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,11227000,tonnes,annual,47:28.8,51:13.5
