id,iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
1.0,USA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1584253000,tonnes,annual,47:28.8,51:14.2
2.0,USA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1584253000,tonnes,annual,47:28.8,51:14.2
3.0,USA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1584253000,tonnes,annual,47:28.8,51:14.2
4.0,RUS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,552526000,tonnes,annual,47:28.8,51:13.5
5.0,RUS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,552526000,tonnes,annual,47:28.8,51:13.5
6.0,RUS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,552526000,tonnes,annual,47:28.8,51:13.5
7.0,SAU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,272845000,tonnes,annual,47:28.8,
8.0,SAU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,272845000,tonnes,annual,47:28.8,
9.0,SAU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,272845000,tonnes,annual,47:28.8,
10.0,ZAF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,208418000,tonnes,annual,47:28.8,51:14.2
11.0,ZAF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,208418000,tonnes,annual,47:28.8,51:14.2
12.0,ZAF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,208418000,tonnes,annual,47:28.8,51:14.2
13.0,TWN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,167390000,tonnes,annual,47:28.8,51:14.2
14.0,TWN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,167390000,tonnes,annual,47:28.8,51:14.2
15.0,TWN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,167390000,tonnes,annual,47:28.8,51:14.2
16.0,THA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,143139000,tonnes,annual,47:28.8,48:10.0
17.0,THA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,143139000,tonnes,annual,47:28.8,48:10.0
18.0,THA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,143139000,tonnes,annual,47:28.8,48:10.0
19.0,TUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,130223000,tonnes,annual,47:28.8,51:14.2
20.0,TUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,130223000,tonnes,annual,47:28.8,51:14.2
21.0,TUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,130223000,tonnes,annual,47:28.8,51:14.2
22.0,VNM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,103272000,tonnes,annual,47:28.8,51:14.2
23.0,VNM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,103272000,tonnes,annual,47:28.8,51:14.2
24.0,VNM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,103272000,tonnes,annual,47:28.8,51:14.2
25.0,UKR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,45077000,tonnes,annual,47:28.8,51:14.2
26.0,UKR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,45077000,tonnes,annual,47:28.8,51:14.2
27.0,UKR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,45077000,tonnes,annual,47:28.8,51:14.2
28.0,UZB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,44999000,tonnes,annual,47:28.8,51:14.2
29.0,UZB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,44999000,tonnes,annual,47:28.8,51:14.2
30.0,UZB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,44999000,tonnes,annual,47:28.8,51:14.2
31.0,VEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,25098000,tonnes,annual,47:28.8,48:10.6
32.0,VEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,25098000,tonnes,annual,47:28.8,48:10.6
33.0,VEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,25098000,tonnes,annual,47:28.8,48:10.6
34.0,SRB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,23989000,tonnes,annual,47:28.8,48:10.0
35.0,SRB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,23989000,tonnes,annual,47:28.8,48:10.0
36.0,SRB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,23989000,tonnes,annual,47:28.8,48:10.0
37.0,SGP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,22139000,tonnes,annual,47:28.8,48:10.0
38.0,SGP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,22139000,tonnes,annual,47:28.8,48:10.0
39.0,SGP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,22139000,tonnes,annual,47:28.8,48:10.0
40.0,QAT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,22072000,tonnes,annual,47:28.8,48:10.0
41.0,QAT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,22072000,tonnes,annual,47:28.8,48:10.0
42.0,QAT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,22072000,tonnes,annual,47:28.8,48:10.0
43.0,TKM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,19860000,tonnes,annual,47:28.8,48:10.6
44.0,TKM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,19860000,tonnes,annual,47:28.8,48:10.6
45.0,TKM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,19860000,tonnes,annual,47:28.8,48:10.6
46.0,ROU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,11227000,tonnes,annual,47:28.8,51:13.5
47.0,ROU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,11227000,tonnes,annual,47:28.8,51:13.5
48.0,ROU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,11227000,tonnes,annual,47:28.8,51:13.5
49.0,PRT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,11101000,tonnes,annual,47:28.8,48:09.2
50.0,PRT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,11101000,tonnes,annual,47:28.8,48:09.2
51.0,PRT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,11101000,tonnes,annual,47:28.8,48:09.2
52.0,TUN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,10745000,tonnes,annual,47:28.8,48:10.6
53.0,TUN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,10745000,tonnes,annual,47:28.8,48:10.6
54.0,TUN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,10745000,tonnes,annual,47:28.8,48:10.6
55.0,SYR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,9847000,tonnes,annual,47:28.8,51:13.5
56.0,SYR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,9847000,tonnes,annual,47:28.8,51:13.5
57.0,SYR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,9847000,tonnes,annual,47:28.8,51:13.5
58.0,SWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,9707000,tonnes,annual,47:28.8,48:10.0
59.0,SWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,9707000,tonnes,annual,47:28.8,48:10.0
60.0,SWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,9707000,tonnes,annual,47:28.8,48:10.0
61.0,SVK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,7429000,tonnes,annual,47:28.8,51:13.5
62.0,SVK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,7429000,tonnes,annual,47:28.8,51:13.5
63.0,SVK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,7429000,tonnes,annual,47:28.8,51:13.5
64.0,XKX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,6669000,tonnes,annual,47:28.8,48:10.6
65.0,XKX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,6669000,tonnes,annual,47:28.8,48:10.6
66.0,XKX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,6669000,tonnes,annual,47:28.8,48:10.6
67.0,ZWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,5283000,tonnes,annual,47:28.8,51:14.2
68.0,ZWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,5283000,tonnes,annual,47:28.8,51:14.2
69.0,ZWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,5283000,tonnes,annual,47:28.8,51:14.2
70.0,TTO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,4934000,tonnes,annual,47:28.8,48:10.6
71.0,TTO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,4934000,tonnes,annual,47:28.8,48:10.6
72.0,TTO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,4934000,tonnes,annual,47:28.8,48:10.6
73.0,SDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,4877000,tonnes,annual,47:28.8,48:10.0
74.0,SDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,4877000,tonnes,annual,47:28.8,48:10.0
75.0,SDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,4877000,tonnes,annual,47:28.8,48:10.0
76.0,TZA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,4195000,tonnes,annual,47:28.8,48:10.6
77.0,TZA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,4195000,tonnes,annual,47:28.8,48:10.6
78.0,TZA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,4195000,tonnes,annual,47:28.8,48:10.6
79.0,SVN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,3782000,tonnes,annual,47:28.8,51:13.5
80.0,SVN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,3782000,tonnes,annual,47:28.8,51:13.5
81.0,SVN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,3782000,tonnes,annual,47:28.8,51:13.5
82.0,SEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2902000,tonnes,annual,47:28.8,
83.0,SEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2902000,tonnes,annual,47:28.8,
84.0,SEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2902000,tonnes,annual,47:28.8,
85.0,REU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2465000,tonnes,annual,47:28.8,48:10.0
86.0,REU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2465000,tonnes,annual,47:28.8,48:10.0
87.0,REU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2465000,tonnes,annual,47:28.8,48:10.0
88.0,SLV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2363000,tonnes,annual,47:28.8,
89.0,SLV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2363000,tonnes,annual,47:28.8,
